year,plan2_district,office,district,candidate,party,votes
2016,2,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,0.000000
2016,2,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,1.000000
2016,2,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,186.000000
2016,2,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,2.000000
2016,2,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,6.000000
2016,2,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,0.000000
2016,2,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,54.000000
2016,2,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,2.000000
2016,2,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,0.000000
2016,2,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,0.000000
2016,2,PRESIDENT,,WRITE IN,OTH,1.000000
2016,2,U S SENATE,,CHARLES ALDRICH,LIB,6.000000
2016,2,U S SENATE,,CHARLES E GRASSLEY,REP,188.000000
2016,2,U S SENATE,,JIM HENNAGER,OTH,0.000000
2016,2,U S SENATE,,MICHAEL LUICK THRAMS,OTH,0.000000
2016,2,U S SENATE,,PATTY JUDGE,DEM,54.000000
2016,2,U S SENATE,,WRITE IN,OTH,0.000000
