year,vtd_id,office,district,candidate,party,votes
2020,19001001001,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000000
2020,19001001001,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.000000
2020,19001001001,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,305.954488
2020,19001001001,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.000000
2020,19001001001,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,3.410354
2020,19001001001,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,104.745687
2020,19001001001,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,0.000009
2020,19001001001,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001001,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.974373
2020,19001001001,PRESIDENT,,WRITE IN,,0.487186
2020,19001001001,U S SENATE,,JONI ERNST,REP,298.646607
2020,19001001001,U S SENATE,,RICK STEWART,LIB,7.307863
2020,19001001001,U S SENATE,,SUZANNE HERZOG,,2.923132
2020,19001001001,U S SENATE,,THERESA GREENFIELD,DEM,103.284173
2020,19001001001,U S SENATE,,WRITE IN,,0.000000
2020,19001001002,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000000
2020,19001001002,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.000000
2020,19001001002,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,81.139268
2020,19001001002,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.000000
2020,19001001002,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,0.904419
2020,19001001002,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,27.778571
2020,19001001002,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,0.000000
2020,19001001002,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001002,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.258405
2020,19001001002,PRESIDENT,,WRITE IN,,0.129203
2020,19001001002,U S SENATE,,JONI ERNST,REP,79.201228
2020,19001001002,U S SENATE,,RICK STEWART,LIB,1.938040
2020,19001001002,U S SENATE,,SUZANNE HERZOG,,0.775216
2020,19001001002,U S SENATE,,THERESA GREENFIELD,DEM,27.390964
2020,19001001002,U S SENATE,,WRITE IN,,0.000000
2020,19001001003,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000000
2020,19001001003,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.000000
2020,19001001003,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,67.682023
2020,19001001003,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.000000
2020,19001001003,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,0.754417
2020,19001001003,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,23.171393
2020,19001001003,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,0.000000
2020,19001001003,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001003,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.215548
2020,19001001003,PRESIDENT,,WRITE IN,,0.107774
2020,19001001003,U S SENATE,,JONI ERNST,REP,66.065414
2020,19001001003,U S SENATE,,RICK STEWART,LIB,1.616609
2020,19001001003,U S SENATE,,SUZANNE HERZOG,,0.646644
2020,19001001003,U S SENATE,,THERESA GREENFIELD,DEM,22.848071
2020,19001001003,U S SENATE,,WRITE IN,,0.000000
2020,19001001004,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000000
2020,19001001004,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.000000
2020,19001001004,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,7.520225
2020,19001001004,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.000000
2020,19001001004,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,0.083824
2020,19001001004,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,2.574599
2020,19001001004,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,0.000000
2020,19001001004,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001004,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.023950
2020,19001001004,PRESIDENT,,WRITE IN,,0.011975
2020,19001001004,U S SENATE,,JONI ERNST,REP,7.340602
2020,19001001004,U S SENATE,,RICK STEWART,LIB,0.179623
2020,19001001004,U S SENATE,,SUZANNE HERZOG,,0.071849
2020,19001001004,U S SENATE,,THERESA GREENFIELD,DEM,2.538675
2020,19001001004,U S SENATE,,WRITE IN,,0.000000
2020,19001001005,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000000
2020,19001001005,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.237795
2020,19001001005,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,51.753160
2020,19001001005,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.000000
2020,19001001005,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,0.850002
2020,19001001005,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,21.577785
2020,19001001005,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,0.158530
2020,19001001005,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001005,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.016387
2020,19001001005,PRESIDENT,,WRITE IN,,0.087458
2020,19001001005,U S SENATE,,JONI ERNST,REP,48.935254
2020,19001001005,U S SENATE,,RICK STEWART,LIB,1.787462
2020,19001001005,U S SENATE,,SUZANNE HERZOG,,0.841809
2020,19001001005,U S SENATE,,THERESA GREENFIELD,DEM,22.187324
2020,19001001005,U S SENATE,,WRITE IN,,0.158530
2020,19001001006,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000000
2020,19001001006,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.414616
2020,19001001006,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,81.264783
2020,19001001006,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.000000
